Title,Rating,Members
"""Oshi no Ko"" 2nd Season",8.37,278K
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,8.12,211K
Kami no Tou: Ouji no Kikan,7.57,165K
Shikanoko Nokonoko Koshitantan,7.74,146K
Fairy Tail: 100-nen Quest,8.12,119K
Isekai Suicide Squad,6.79,117K
Tsue to Tsurugi no Wistoria,8.01,104K
Gimai Seikatsu,7.38,104K
Isekai Shikkaku,7.12,91K
Giji Harem,7.56,90K
"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made",6.37,76K
Make Heroine ga Oosugiru!,8.18,73K
"Kimi to Boku no Saigo no Senjou Aruiwa Sekai ga Hajimaru Seisen Season II",6.99,71K
Nige Jouzu no Wakagimi,7.99,71K
2.5-jigen no Ririsa,7.25,70K
"Ore wa Subete wo "Parry" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai",7.04,66K
Shoushimin Series,7.40,66K
Maougun Saikyou no Majutsushi wa Ningen datta,6.33,66K
NieR:Automata Ver1.1a Part 2,7.90,62K
"Shinmai Ossan Boukensha Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.",7.00,59K
Naze Boku no Sekai wo Daremo Oboeteinai no ka?,7.07,54K
Senpai wa Otokonoko,7.05,50K
Atri: My Dear Moments,7.29,48K
Megami no Café Terrace 2nd Season,7.50,46K
Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,7.46,45K
VTuber Nandaga Haishin Kiri Wasuretara Densetsu ni Natteta,7.14,37K
Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,6.73,36K
Boku no Tsuma wa Kanjou ga Nai,6.44,36K
Koi wa Futago de Warikirenai,6.86,36K
Madougushi Dahliya wa Utsumukanai,6.80,36K
Mob kara Hajimaru Tansaku Eiyuutan,6.22,35K
"Bye Bye Earth",6.84,33K
Tasogare Out Focus,7.29,30K
Elf-san wa Yaserarenai.,5.84,29K
Mayonaka Punch,7.05,27K
Kono Sekai wa Fukanzen Sugiru,6.37,27K
Dungeon no Naka no Hito,6.74,23K
Na Nare Hana Nare,6.59,22K
Delico's Nursery,N/A,21K
Shy 2nd Season,7.04,19K
Tasuuketsu,5.05,14K
Sengoku Youko: Senma Konton-hen,7.19,13K
Tensui no Sakuna-hime,6.54,12K
Ramen Akaneko,6.49,8.0K
0-saiji Start Dash Monogatari,4.98,6.6K
Grendizer U,6.11,5.8K
Kinnikuman: Kanpeki Chоujin Shiso-hen,6.53,5.6K
Yami Shibai 13,5.97,2.1K
Cardfight!! Vanguard: Divinez Season 2,6.54,1.5K
Maarui Kanojo to Zannen na Kareshi,N/A,1.4K
Egumi Legacy,5.99,882
Harimaware! Koinu 2nd Season,N/A,308
Jochum,N/A,291
Gendai Goyaku,N/A,186
Hello Carbot Season 15,N/A,42
One Piece,8.72,2.4M
Meitantei Conan,8.17,352K
Tensei shitara Slime Datta Ken 3rd Season,7.86,312K
Boku no Hero Academia 7th Season,7.88,271K
Ookami to Koushinryou: Merchant Meets the Wise Wolf,8.04,180K
Yozakura-san Chi no Daisakusen,7.21,86K
Crayon Shin-chan,7.79,85K
Sasayaku You ni Koi wo Utau,6.96,77K
The Fable,7.42,46K
Pokemon (2023),7.40,31K
Karasu wa Aruji wo Erabanai,7.65,29K
Doraemon (2005),7.69,20K
Gudetama,7.04,13K
Sazae-san,6.13,8.5K
Nintama Rantarou,7.07,7.8K
Chibi Maruko-chan (1995),7.31,6.4K
Wonderful Precure!,7.35,6.1K
Yu☆Gi☆Oh! Go Rush!!,5.65,6.1K
Tousouchuu: Great Mission,5.65,5.1K
Shinkalion: Change the World,5.65,5.1K
Sore Ike! Anpanman,6.53,4.5K
Chiikawa,7.12,4.3K
Beyblade X,6.82,3.3K
Bonobono (TV 2016),6.37,3.2K
Ninjala (TV),5.47,2.8K
Himitsu no AiPri,6.20,2.6K
Shikaru Neko,N/A,2.3K
Ojarumaru,6.36,2.1K
Fushigi Dagashiya: Zenitendou,5.96,1.9K
Shadowverse Flame: Arc-hen,6.35,1.9K
Puzzle & Dragon,5.79,1.6K
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,N/A,1.2K
Hanakappa,5.93,972
Shiawase Haitatsu Taneko,N/A,935
Shimajirou no Wow!,N/A,659
Manul no Yuube,N/A,612
Chibi Godzilla no Gyakushuu 2nd Season,N/A,565
Gohan Kaijuu Pap,N/A,537
Yowamushi Monsters,N/A,503
Otoppe,N/A,418
Pakkororin,N/A,375
Reizouko no Tsukenosuke!,N/A,347
Origami Ninja Koyankinte,N/A,340
Sai-Kyo-Oh! Zukan: The Ultimate Battles,N/A,314
Shin Nippon History,N/A,309
I Love Me 2nd Season,N/A,267
Shuwawan!,N/A,235
Cabeon,N/A,201
Magical Fang,N/A,190
Larva in Mars,N/A,164
Xiong Chumo: Xiao Xiao Shijie,N/A,164
Xin Xiyou Lixian Ji,N/A,156
Youkoso Ninchishou Sekai e,N/A,152
Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,N/A,149
Oshiri Tantei 9th Season,N/A,144
DoReMi Friends,N/A,86
Monogatari Series: Off & Monster Season,8.97,53K
Kimi ni Todoke 3rd Season,N/A,49K
Code Geass: Dakkan no Rozé,7.31,34K
Kengan Ashura Season 2 Part 2,N/A,11K
Yeosin Gangnim,N/A,4.5K
Wuliao Jiu Wanjie,6.53,2.4K
Yoasobi Gurashi!,6.18,2.1K
Yi Nian Yong Heng 3rd Season,N/A,1.3K
T.P BON Season 2,6.79,1.2K
Baise Shandian,N/A,865
Mayonaka Punch Short Anime,N/A,792
Yong Sheng: Qizhuang Shanhe,7.28,688
Bai Fa Shen La,N/A,630
Koneko no Chi: Ponponraa Natsuyasumi,"N/A,543
Cang Yuan Tu: Dongning Fu Fanwai Pian,"N/A,431
Anhe Zhuan Part 2,N/A,402
Guai Xiang Shou,N/A,390
Shaonian Bai Ma Zui Chun Feng 2nd Season,N/A,248
Xi Jing Sushe,N/A,246
Erlang Shen: Shenhai Jialong,N/A,232
Feng Ling Yu Xiu 2nd Season: Tebie Pian,N/A,231
Long Zhong Ren,N/A,221
Zhui Xu 2nd Season,N/A,211
Yong Sheng: Hai Shi Xian Ling,N/A,197
Shen Wu Tianzun (2024),N/A,153
Zhan Shen: Fanchen Shenyu,N/A,150
You Shou Yan 4th Season,N/A,80
Jiu Wo,N/A,66
Turning the Tera Tide,N/A,56
Denglong Dao,N/A,54
Wo De San Ti 4th Season,N/A,54
Horangi Deureowayo,N/A,46
Fengyu Lang Qiao: Kunlun Mo Lei,N/A,45
Fengyu Lang Qiao: Bishamonten,N/A,43
Jian Lai,N/A,40
Cha A Er Zhong 5th Season,N/A,37
Bu Bai Chi Gu Shici Man Youji 2nd Season,N/A,31
Xia Ming Kezhan,N/A,31
Qingnian Daoyan Xilie,N/A,29
Seiyoku Tsuyotsuyo The Animation,N/A,958
Shounen ga Otona ni Natta Natsu,N/A,754
Bubble de House de *** The Animation,N/A,753
Imaria,"N/A,576"
Ito wo Yoru,N/A,524
Sex ga Suki de Suki de Daisuki na Classmate no Ano Musume,N/A,456
Reginetta-san no Bouken,N/A,413
Futsuma *jo Charlotte,N/A,326
Incha Couple ga You Gal-tachi to Sex Training Suru Hanashi,N/A,231
Overlord Movie 3: Sei Oukoku-hen,N/A,60K
Boku no Hero Academia the Movie 4: You're Next,"N/A,48K
Mononoke Movie: Karakasa,N/A,25K
Kimi no Iro,N/A,18K
Given Movie 3: Umi e,"N/A,9.0K
Love Live! Nijigasaki Gakuen School Idol Doukoukai Kanketsu-hen,N/A,5.6K
"Yamato yo, Towa ni: Rebel 3199",N/A,3.1K
Bakeneko Anzu-chan,N/A,2.9K
Touken Ranbu Kai: Douden Chikashi Haberau Monora,N/A,1.9K
BanG Dream! It's MyGO!!!!! Movie,N/A,1.6K
Wonderful Precure! Movie: Dokidoki Game no Sekai de Dai Bouken!,N/A,1.4K
Zegapain: STA,N/A,1.4K
SutoPuri Movie: Hajimari no Monogatari - Strawberry School Festival!!!,N/A,1.1K
Bai She 3: Fusheng,N/A,901
Crayon Shin-chan Movie 32: Ora-tachi no Kyouyuu Nikki,N/A,838
King of Prism: Dramatic Prism.1,N/A,253
San Shaonu,N/A,223
Xi Yangyang Yu Hui Tailang Zhi Shouhu,N/A,62
Sinbi Apartment: Bulgeunnunui Sasin,N/A,51
Kinnikuman: Kanpeki Chоujin Shiso-hen Episode 0,6.52,1.5K
Shinkalion: Change the World - Ushinawareta Kioku,N/A,434
